sample	var_count	new_count	tot_captured	pct_captured
b'NA19099'	49	49	49	0.049
b'HG03770'	47	24	73	0.073
b'HG02666'	48	18	91	0.091
b'NA18523'	35	16	107	0.107
b'HG03517'	37	12	119	0.119
b'HG01108'	36	11	130	0.13
b'HG02107'	45	11	141	0.141
b'HG02549'	41	10	151	0.151
b'HG02429'	39	9	160	0.16
b'HG02736'	36	9	169	0.169
