sample	var_count	new_count	tot_captured	pct_captured
HG00096	59	59	59	0.0295
NA20320	96	54	113	0.0565
HG00280	57	19	132	0.066
HG02139	93	30	162	0.081
HG03135	81	15	177	0.0885
HG02807	80	29	206	0.103
HG02721	79	15	221	0.1105
HG00181	77	11	232	0.116
NA20752	65	10	242	0.121
HG02854	87	20	262	0.131
HG01954	93	7	269	0.1345
HG03052	72	12	281	0.1405
NA12340	80	10	291	0.1455
HG03078	83	13	304	0.152
HG02107	88	17	321	0.1605
HG02760	87	10	331	0.1655
NA19658	66	4	335	0.1675
NA18943	76	7	342	0.171
