sample	var_count	new_count	tot_captured	pct_captured
HG03691	45	45	45	0.045
HG00107	32	9	54	0.054
NA19475	48	20	74	0.074
HG03437	41	13	87	0.087
NA20790	35	6	93	0.093
HG03238	29	5	98	0.098
NA12828	42	5	103	0.103
NA19020	33	8	111	0.111
NA19184	39	11	122	0.122
HG03753	30	3	125	0.125
NA19030	39	7	132	0.132
NA18639	27	5	137	0.137
